C_CUSTOMER_SK,C_PREFERRED_CUST_FLAG,AGE,GENDER,MARITAL_STATUS,EDUCATION_STATUS,PURCHASE_ESTIMATE,CREDIT_RATING,DEP_COUNT,DEP_EMPLOYED_COUNT,DEP_COLLEGE_COUNT,RECENCY,MONETARY,FREQUENCY
54330771,Y,60,M,U,2 yr Degree,3500,Unknown,5,5,4,164,970472.98,35
21304212,N,47,F,D,Advanced Degree,9000,High Risk,4,4,0,3,726205.33,41
33990331,N,78,F,U,Unknown,3000,Good,5,3,5,114,1012901.47,37
89986389,N,51,F,S,4 yr Degree,3000,Good,5,0,4,55,946833.36,35
89263527,N,66,M,U,Advanced Degree,6500,Unknown,3,2,3,18,702620.25,36
33757017,N,38,M,D,Advanced Degree,8000,Unknown,5,0,0,29,1173889.11,40
6837899,N,62,F,U,2 yr Degree,7000,High Risk,3,3,2,15,1201075.16,42
33431254,Y,76,M,W,4 yr Degree,5500,Low Risk,5,0,5,32,1237041.65,39
69262943,N,48,M,W,4 yr Degree,4000,High Risk,5,0,4,90,940858.01,41
60906651,N,54,M,M,4 yr Degree,6000,Unknown,3,0,2,43,595959.44,40
97389960,Y,50,F,U,Secondary,7000,Unknown,5,3,2,130,645853.13,37
86138690,N,37,M,S,Primary,10000,Good,3,3,0,13,1362940.99,38
77404969,N,65,M,S,College,2500,Low Risk,3,0,1,4,1414728.05,40
36348206,Y,47,M,M,Primary,5500,High Risk,2,2,2,59,785734.90,39
32298944,N,76,F,U,4 yr Degree,2500,Low Risk,6,0,3,16,945611.16,40
92912271,Y,39,F,D,Advanced Degree,10000,Good,5,4,4,9,1222822.92,37
96390711,Y,34,M,S,Advanced Degree,8500,Low Risk,3,1,2,66,1691291.85,41
93574052,Y,59,F,U,Unknown,8000,Low Risk,5,5,2,1,869668.48,39
24354346,N,50,M,S,Secondary,6500,Good,2,0,1,67,767359.71,38
6305115,N,47,F,D,2 yr Degree,10000,Unknown,5,3,5,111,1026525.55,42
90239880,N,78,F,D,College,9500,Unknown,5,5,0,149,1034100.02,39
39897170,N,53,F,M,2 yr Degree,10000,Good,5,2,5,10,954524.02,40
43575431,N,68,F,U,Advanced Degree,5000,Low Risk,5,3,0,19,47022831.44,1301
21726882,N,60,M,D,4 yr Degree,7500,Good,5,1,5,41,1111316.80,42
57875176,Y,50,F,U,Secondary,5500,High Risk,6,0,3,51,943098.70,37
48962120,Y,52,M,D,4 yr Degree,4500,Unknown,5,3,0,0,880188.33,37
22879293,Y,77,M,M,4 yr Degree,1000,Low Risk,6,3,3,38,1149357.13,38
13044954,N,47,F,U,2 yr Degree,3500,Low Risk,5,0,0,79,1440690.50,40
16679179,N,49,M,U,Secondary,5000,Low Risk,5,3,4,11,1235699.67,40
