O_CUSTKEY,RECENCY,FREQUENCY,MONETARY,R,F,M,RFM,RFM_SEGMENT
42239,55,1,65877.82000,3,1,1,5,Need Attention
146873,22,2,146251.72000,1,1,1,3,Need Attention
15110,43,4,170052.01000,2,1,1,4,Need Attention
10061,178,4,183773.21000,5,1,1,7,Potential
43214,173,2,184758.23000,5,1,1,7,Potential
83180,10,3,189308.15000,1,1,1,3,Need Attention
29360,164,2,193116.61000,5,1,1,7,Potential
56801,119,3,208156.11000,4,1,1,6,Need Attention
22925,45,4,211514.30000,2,1,1,4,Need Attention
47909,69,2,216875.97000,3,1,1,5,Need Attention
50501,180,4,235324.86000,5,1,1,7,Potential
66503,131,4,244039.14000,5,1,1,7,Potential
113288,18,5,248292.34000,1,1,1,3,Need Attention
52298,2,4,252388.80000,1,1,1,3,Need Attention
78569,180,3,260619.89000,5,1,1,7,Potential
114746,134,3,264814.08000,5,1,1,7,Potential
43313,93,3,274716.04000,4,1,1,6,Need Attention
61574,140,3,275299.58000,5,1,1,7,Potential
4316,79,3,276783.40000,3,1,1,5,Need Attention
77015,75,3,282699.55000,3,1,1,5,Need Attention
11573,128,4,283278.98000,5,1,1,7,Potential
36248,70,4,283360.84000,3,1,1,5,Need Attention
140177,20,4,290497.80000,1,1,1,3,Need Attention
96029,14,3,292616.93000,1,1,1,3,Need Attention
135194,25,3,292645.08000,2,1,1,4,Need Attention
118712,6,5,297306.44000,1,1,1,3,Need Attention
133508,43,2,302389.11000,2,1,1,4,Need Attention
70682,166,4,303516.27000,5,1,1,7,Potential
31703,145,3,303784.56000,5,1,1,7,Potential
20246,123,3,304022.65000,4,1,1,6,Need Attention
129482,153,4,306957.04000,5,1,1,7,Potential
25172,137,4,310275.25000,5,1,1,7,Potential
110648,180,4,312088.49000,5,1,1,7,Potential
102479,33,3,313077.05000,2,1,1,4,Need Attention
66389,157,4,316826.71000,5,1,1,7,Potential
90320,3,4,319465.27000,1,1,1,3,Need Attention
6230,40,4,321207.34000,2,1,1,4,Need Attention
25799,93,3,321868.36000,4,1,1,6,Need Attention
35588,80,2,322425.30000,3,1,1,5,Need Attention
72440,154,4,331117.30000,5,1,1,7,Potential
101462,57,5,331653.03000,3,1,1,5,Need Attention
28040,168,4,332661.51000,5,1,1,7,Potential
70013,150,4,332810.60000,5,1,1,7,Potential
50678,123,3,333175.69000,4,1,1,6,Need Attention
136769,74,3,335646.69000,3,1,1,5,Need Attention
50831,28,4,335953.27000,2,1,1,4,Need Attention
44279,41,3,341102.63000,2,1,1,4,Need Attention
41345,134,2,343902.20000,5,1,1,7,Potential
110015,170,5,344121.43000,5,1,1,7,Potential
8651,20,4,346089.43000,1,1,1,3,Need Attention
149636,5,4,347804.19000,1,1,1,3,Need Attention
98288,74,7,351124.66000,3,1,1,5,Need Attention
134201,122,4,351660.79000,4,1,1,6,Need Attention
58742,127,4,352913.71000,5,1,1,7,Potential
90179,2,3,354540.88000,1,1,1,3,Need Attention
22856,138,6,355214.25000,5,1,1,7,Potential
45584,93,7,355871.11000,4,1,1,6,Need Attention
98393,23,3,357202.65000,1,1,1,3,Need Attention
122921,19,5,359269.42000,1,1,1,3,Need Attention
118940,53,3,361586.47000,3,1,1,5,Need Attention
140288,180,4,362114.39000,5,1,1,7,Potential
34616,36,4,367628.00000,2,1,1,4,Need Attention
90890,136,4,367739.35000,5,1,1,7,Potential
97391,114,4,371059.49000,4,1,1,6,Need Attention
6077,20,3,372094.02000,1,1,1,3,Need Attention
111311,131,4,373049.96000,5,1,1,7,Potential
119516,76,4,373170.10000,3,1,1,5,Need Attention
39683,48,3,373743.98000,2,1,1,4,Need Attention
10037,160,5,376465.48000,5,1,1,7,Potential
20474,120,4,378391.52000,4,1,1,6,Need Attention
3773,65,4,382852.68000,3,1,1,5,Need Attention
97571,52,3,383240.93000,3,1,1,5,Need Attention
9500,138,5,383418.13000,5,1,1,7,Potential
8561,67,5,384276.51000,3,1,1,5,Need Attention
34637,152,5,385584.84000,5,1,1,7,Potential
41171,161,4,385910.08000,5,1,1,7,Potential
75803,172,3,386895.70000,5,1,1,7,Potential
106193,112,2,387829.44000,4,1,1,6,Need Attention
92432,29,6,388588.48000,2,1,1,4,Need Attention
99407,180,3,389344.62000,5,1,1,7,Potential
138842,140,4,390458.18000,5,1,1,7,Potential
95291,30,5,391907.91000,2,1,1,4,Need Attention
9005,146,4,392206.72000,5,1,1,7,Potential
66755,152,6,392689.00000,5,1,1,7,Potential
35807,79,4,392928.00000,3,1,1,5,Need Attention
32252,170,4,397012.68000,5,1,1,7,Potential
149168,171,3,397072.23000,5,1,1,7,Potential
99044,66,7,398473.57000,3,1,1,5,Need Attention
62849,106,4,399468.16000,4,1,1,6,Need Attention
70376,103,3,402787.65000,4,1,1,6,Need Attention
54053,162,5,405450.30000,5,1,1,7,Potential
73166,29,3,406482.19000,2,1,1,4,Need Attention
99500,139,3,406853.00000,5,1,1,7,Potential
43022,93,6,407440.39000,4,1,1,6,Need Attention
22373,99,4,407660.74000,4,1,1,6,Need Attention
11219,4,4,408594.89000,1,1,1,3,Need Attention
109718,1,6,411252.88000,1,1,1,3,Need Attention
41423,51,5,411478.06000,3,1,1,5,Need Attention
75551,91,4,411732.14000,4,1,1,6,Need Attention
105551,30,6,411743.92000,2,1,1,4,Need Attention
125582,89,3,412482.40000,4,1,1,6,Need Attention
34121,74,4,415145.91000,3,1,1,5,Need Attention
87101,100,5,417449.17000,4,1,1,6,Need Attention
100310,24,5,417590.32000,2,1,1,4,Need Attention
119474,17,2,418567.90000,1,1,1,3,Need Attention
95579,45,4,419798.65000,2,1,1,4,Need Attention
98555,97,5,420369.20000,4,1,1,6,Need Attention
111290,117,6,421060.00000,4,1,1,6,Need Attention
139259,11,4,421212.42000,1,1,1,3,Need Attention
5735,49,4,421646.32000,2,1,1,4,Need Attention
